year,area,num
201512,서울특별시 용산구,1
201512,서울특별시 용산구,1
201512,서울특별시 광진구,1
201512,서울특별시 광진구,355
201512,서울특별시 광진구,1
201512,서울특별시 광진구,2
201512,서울특별시 광진구,3
201512,서울특별시 광진구,1384
201512,서울특별시 광진구,596
201512,서울특별시 광진구,91
201512,서울특별시 광진구,2
201512,서울특별시 광진구,19
201512,서울특별시 광진구,2972
201512,서울특별시 광진구,7
201512,서울특별시 동대문구,3
201512,서울특별시 동대문구,1
201512,서울특별시 동대문구,1
201512,서울특별시 동대문구,5
201512,서울특별시 동대문구,2
201512,서울특별시 동대문구,4
201512,서울특별시 동대문구,3
201512,서울특별시 용산구,7
201512,서울특별시 용산구,8
201512,서울특별시 용산구,12
201512,서울특별시 용산구,4
201512,서울특별시 용산구,126
201512,서울특별시 용산구,3
201512,서울특별시 용산구,8
201512,서울특별시 용산구,193
201512,서울특별시 용산구,7
201512,서울특별시 용산구,725
201512,서울특별시 용산구,27
201512,서울특별시 용산구,9
201512,서울특별시 용산구,3
201512,서울특별시 용산구,623
201512,서울특별시 용산구,2320
201512,서울특별시 용산구,56
201512,서울특별시 용산구,2
201512,서울특별시 동대문구,12
201512,서울특별시 동대문구,7
201512,서울특별시 동대문구,97
201512,서울특별시 동대문구,45
201512,서울특별시 동대문구,269
201512,서울특별시 동대문구,104
201512,서울특별시 동대문구,1931
201512,서울특별시 동대문구,80
201512,서울특별시 동대문구,92
201512,서울특별시 동대문구,3
201512,서울특별시 동대문구,10
201512,서울특별시 동대문구,1618
201512,서울특별시 동대문구,467
201512,서울특별시 동대문구,3
201512,서울특별시 동대문구,1
201512,서울특별시 동대문구,112
201512,서울특별시 동대문구,1710
201512,서울특별시 용산구,1012
201512,서울특별시 용산구,1226
201512,서울특별시 용산구,1
201512,서울특별시 용산구,1022
201512,서울특별시 용산구,23
201512,서울특별시 용산구,2
201512,서울특별시 성동구,1
201512,서울특별시 성동구,1
201512,서울특별시 성동구,46
201512,서울특별시 성동구,2
201512,서울특별시 성동구,1325
201512,서울특별시 성동구,1
201512,서울특별시 성동구,27
201512,서울특별시 성동구,2
201512,서울특별시 성동구,1944
201512,서울특별시 성동구,10
201512,서울특별시 성동구,29
201512,서울특별시 동대문구,87
201512,서울특별시 동대문구,1
201512,서울특별시 동대문구,819
201512,서울특별시 동대문구,4
201512,서울특별시 동대문구,2
201512,서울특별시 동대문구,11
201512,서울특별시 동대문구,2667
201512,서울특별시 동대문구,777
201512,서울특별시 동대문구,1
201512,서울특별시 동대문구,3291
201512,서울특별시 동대문구,3
201512,서울특별시 동대문구,11
201512,서울특별시 동대문구,486
201512,서울특별시 동대문구,3
201512,서울특별시 동대문구,1
201512,서울특별시 동대문구,5
201512,서울특별시 성동구,1
201512,서울특별시 성동구,1
201512,서울특별시 성동구,8
201512,서울특별시 성동구,11
201512,서울특별시 성동구,1
201512,서울특별시 성동구,27
201512,서울특별시 성동구,2
201512,서울특별시 성동구,2
201512,서울특별시 성동구,24
201512,서울특별시 성동구,1
201512,서울특별시 성동구,3
201512,서울특별시 성동구,891
201512,서울특별시 성동구,228
201512,서울특별시 성동구,106
201512,서울특별시 성동구,58
201512,서울특별시 성동구,48
201512,서울특별시 성동구,26
201512,서울특별시 성동구,148
201512,서울특별시 동대문구,3
201512,서울특별시 동대문구,12
201512,서울특별시 동대문구,5
201512,서울특별시 동대문구,4
201512,서울특별시 동대문구,1148
201512,서울특별시 동대문구,3
201512,서울특별시 동대문구,4
201512,서울특별시 동대문구,501
201512,서울특별시 동대문구,24
201512,서울특별시 동대문구,1314
201512,서울특별시 동대문구,1925
201512,서울특별시 동대문구,7
201512,서울특별시 동대문구,3
201512,서울특별시 동대문구,1152
201512,서울특별시 동대문구,1295
201512,서울특별시 동대문구,1771
201512,서울특별시 성동구,1
201512,서울특별시 성동구,45
201512,서울특별시 성동구,31
201512,서울특별시 성동구,175
201512,서울특별시 성동구,2286
201512,서울특별시 성동구,2133
201512,서울특별시 성동구,4
201512,서울특별시 성동구,1
201512,서울특별시 성동구,1
201512,서울특별시 성동구,18
201512,서울특별시 성동구,3
201512,서울특별시 성동구,473
201512,서울특별시 성동구,255
201512,서울특별시 성동구,1
201512,서울특별시 성동구,794
201512,서울특별시 성동구,5
201512,서울특별시 성동구,55
201512,서울특별시 동대문구,5
201512,서울특별시 동대문구,18
201512,서울특별시 동대문구,1
201512,서울특별시 동대문구,7
201512,서울특별시 중랑구,1
201512,서울특별시 중랑구,4
201512,서울특별시 중랑구,2
201512,서울특별시 중랑구,3
201512,서울특별시 중랑구,4
201512,서울특별시 중랑구,1
201512,서울특별시 중랑구,1
201512,서울특별시 중랑구,74
201512,서울특별시 중랑구,3
201512,서울특별시 중랑구,115
201512,서울특별시 중랑구,9
201512,서울특별시 중랑구,90
201512,서울특별시 중랑구,12
201512,서울특별시 중랑구,830
201512,서울특별시 중랑구,2
201512,서울특별시 성동구,141
201512,서울특별시 성동구,1514
201512,서울특별시 성동구,1767
